Modules,Sub-Modules,Input Type,Tier,How can admins edit this?,How will client see it in elements view?,How will client see it in presentation view?,What would happen when client press the copy the prompt in here?
4. Colors Systems,Accessibility & WCAG Contrast Rules,Figma CSS / Style API,for v2,Automated contrast ratio matrix checker + pass/fail status toggles.,Accessibility compliance summary sheet (WCAG AAA/AA rating).,Visual contrast compliance matrix showing compliant background/text pairs.,"Copies LLM instruction: ""Accessibility Guardrail: Text on [Bg Hex] MUST use [Text Hex] (Contrast Ratio: [X]:1 - WCAG AAA compliant)."""
5. Typography Properties,Headline Primary,Figma CSS / Style API,Essential,"Font Spec Popover (Family, Weight, Size px, Leading, Tracking).",@font-face CSS code snippet + font file .woff2 download button.,Massive display typography hero rendering sample headline live.,"Copies LLM instruction: ""Headline Primary Style: Family: [Font], Weight: [Weight], Size: [Px], Leading: [Leading]. Line-height MUST stay tight."""
5. Typography Properties,Headline Secondary,Figma CSS / Style API,Essential,"Font Spec Popover (Family, Weight, Size px, Leading, Tracking).",@font-face CSS snippet + font file .woff2 download button.,H2/H3 editorial layout specimen card.,"Copies LLM instruction: ""Headline Secondary Style: Family: [Font], Weight: [Weight], Size: [Px]."""
5. Typography Properties,Headline Tertiary,Figma CSS / Style API,Optional,"Font Spec Popover (Family, Weight, Size px, Leading, Tracking).",@font-face CSS snippet + font file .woff2 download button.,H4/H5 section sub-header card rendering live.,"Copies LLM instruction: ""Headline Tertiary Style: Family: [Font], Weight: [Weight], Size: [Px]."""
5. Typography Properties,Body,Figma CSS / Style API,Essential,"Font Spec Popover (Family, Weight, Size px, Line-height).",Copyable body text CSS utility classes.,Paragraph specimen card with inline link and bolding samples.,"Copies LLM instruction: ""Body Text Style: Family: [Font], Weight: [Weight], Size: [Px], Line-Height: [Ratio]. Ensure high legibility."""
5. Typography Properties,Caption,Figma CSS / Style API,Essential,"Font Spec Popover (Family, Weight, Size px, Tracking).",Copyable micro-text CSS classes.,Caption / metadata tag specimen display block.,"Copies LLM instruction: ""Caption Text Style: Family: [Font], Size: [Px], Letter-Spacing: [Tracking]."""
5. Typography Properties,Fallback Fonts,Figma CSS / Style API,Optional,"Stack Editor input (e.g. system-ui, -apple-system, sans-serif).",Raw CSS font-family declaration string snippet.,Rendered fallback stack verification card.,"Copies LLM instruction: ""Font Stack Fallbacks: [Primary Font], [Fallback Stack]. Always include system fallbacks."""
5. Typography Properties,Typography Scale,Figma CSS / Style API,Essential,Type Scale Table Editor (Display down to Caption).,Tailwind CSS theme.fontSize configuration object download.,Waterfall type scale preview (Display down to Caption) with live typing canvas.,"Copies LLM instruction: ""Type Hierarchy Ratios: Display: [Size], H1: [Size], H2: [Size], Body: [Size], Caption: [Size]."""
5. Typography Properties,Line-Heights,Figma CSS / Style API,Essential,"Line-Height Spec Form (em, %, or px per size token).",Copyable typography line-height token map.,Interactive leading adjustment card showing tight vs. loose line spacing.,"Copies LLM instruction: ""Line-Height Parameters: Headlines: [Tight Ratio]; Body: [Relaxed Ratio]. Never collapse descenders."""
5. Typography Properties,Letter-Spacing,Figma CSS / Style API,Essential,Tracking Spec Form (em or px values per size token).,Copyable letter-spacing token map.,Visual tracking specimen card comparing wide vs. tight kerning.,"Copies LLM instruction: ""Letter-Spacing Tokens: Display: [Negative Tracking]; Captions: [Positive Tracking]."""
6. Design Tokens,Layout Grids,Figma CSS / Variables API,CI Builder v2,"Grid Token Form (Columns, Gutters px, Margins px, Max-width px).",Exportable grids.json token file + CSS grid utility snippet.,Visual container query ruler card with column overlay toggle.,"Copies LLM instruction: ""Layout Grid Rules: [Cols]-column grid, Gutters: [Gutter]px, Margins: [Margin]px, Max Container: [Width]px."""
6. Design Tokens,Spacing System,Figma CSS / Variables API,CI Builder v2,"Spacing Scale Form (xs, sm, md, lg, xl, 2xl in px).",Exportable spacing.json token file or Tailwind spacing object.,Visual spacing ruler overlay illustrating padding and margin steps.,"Copies LLM instruction: ""Spacing Tokens: Scale: { xs: [Px], sm: [Px], md: [Px], lg: [Px], xl: [Px] }. Enforce 8px grid."""
7. UI Elements,Primary,Figma Frame Import,Essential,"<EditableImage> frame slot + Border Radius, Padding, and Bg inputs.",Copyable Tailwind button code + raw SVG frame download.,Live interactive button canvas with light/dark backdrop toggle.,"Copies LLM instruction: ""Primary Button Specs: Bg: [Hex], Text: [Hex], Border-Radius: [Px], Padding: [Padding]."""
7. UI Elements,Secondary,Figma Frame Import,Essential,<EditableImage> frame slot + Border & Text color pickers.,Copyable Tailwind button code + raw SVG frame download.,Live interactive button canvas with light/dark backdrop toggle.,"Copies LLM instruction: ""Secondary Button Specs: Border: [Hex], Text: [Hex], Background: Transparent."""
7. UI Elements,Tertiary,Figma Frame Import,Optional,<EditableImage> frame slot + Hover effect inputs.,Copyable CSS class snippet + SVG export.,Interactive text-button canvas with underline hover preview.,"Copies LLM instruction: ""Tertiary Button Specs: Text-only link style with hover accent color [Hex]."""
7. UI Elements,"Interactive States (Hover, Active Focus)",Figma Frame Import,Essential,"Multi-slot editor for Default, Hover, Active, Focus visual states.","State matrix code block (CSS :hover, :active, :focus-visible).",Interactive component playground rendering dynamic state shifts on hover/click.,"Copies LLM instruction: ""UI Component Hover/Active Specs: Hover Bg: [Hex], Active Scale: 0.98, Focus Ring: [Hex]."""
7. UI Elements,Form Controls,Figma Frame Import,CI Builder v2,"Image slot picker for Inputs, Checkboxes, Radios, Toggles + state inputs.",Form element CSS library code export.,"Live interactive form sandbox (Input, Checkbox, Toggle switches).","Copies LLM instruction: ""Form Control Specs: Input Border: [Hex], Focus Border: [Accent Hex], Border-Radius: [Px]."""
7. UI Elements,Feedback & Status Badges,Figma Frame Import,CI Builder v2,"Image slot picker for Status Badges (Success, Warning, Info).",Copyable HTML/Tailwind badge component snippets.,Interactive status badge showcase grid.,"Copies LLM instruction: ""Badge Tokens: Success: Bg [Hex]/Text [Hex]; Warning: Bg [Hex]/Text [Hex]."""
7. UI Elements,"Layout Containers (Cards, Modals)",Figma Frame Import,CI Builder v2,"Container Spec Form (Card Bg, Blur opacity, Border, Shadow).",Copyable glassmorphism / card CSS container utility classes.,Styled card and modal container showcase canvas.,"Copies LLM instruction: ""Container UI Specs: Surface Bg: [Hex], Border: [Hex], Radius: [Px], Shadow: [Shadow Spec]."""
8. Imagery,Photography Style (Do's & Don'ts),Figma Frame Import,Optional,Dual-column <EditableImage> + caption text popovers.,Downloadable photo direction reference guide (PDF/PNG).,Side-by-side photography comparison grid with green/red status badges.,"Copies LLM instruction: ""Photography Direction: Approved subjects: [Do Captions]. Prohibited styles: [Don't Captions]. High contrast, human-first."""
8. Imagery,Iconography & Illustration Style,Figma Frame Import,Optional,Asset grid uploader for Icon Set (SVG format) + stroke/fill inputs.,Direct icon set zip package download + individual raw SVG downloads.,Grid preview of vector icons with background contrast toggles.,"Copies LLM instruction: ""Iconography Guidelines: Style: [Linear/Filled], Stroke Width: [Px], Primary Icon Color: [Hex]."""
8. Imagery,AI Image Prompts,Form / Text Input,CI Builder v2,Reorderable prompt card array + Prompt Modifier inputs + Negative prompt inputs.,"1-Click ""Copy Midjourney/Flux Prompt"" buttons per prompt block.",Dark-mode terminal prompt cards paired with generated image previews.,"Copies LLM instruction: ""AI Generation Engine: Prompt Prefix: [Prefix]. Style Modifiers: [Modifiers]. Negative Prompts: [Negatives]."""
9. Touchpoints,Social Media 4x5,Figma Frame Import,Optional,<EditableImage> slot + aspect ratio constraint validator (4:5).,High-res PNG template download + direct CDN image URL.,4:5 social post container card with full-screen zoom lightbox.,"Copies LLM instruction: ""Social 4x5 Template Asset URL: [URL]. Aspect Ratio: 4:5 (1080x1350px). Follow strict brand padding."""
9. Touchpoints,Social Media 9x16,Figma Frame Import,Optional,<EditableImage> slot + aspect ratio constraint validator (9:16).,High-res PNG template download + direct CDN image URL.,9:16 mobile story mockup container with interactive frame overlay.,"Copies LLM instruction: ""Social 9x16 Template Asset URL: [URL]. Aspect Ratio: 9:16 (1080x1920px). Safe zone clearance: [Px] top/bottom."""
9. Touchpoints,Email Signatures,Figma Frame Import,Optional,Rich text HTML template editor + avatar/logo image slot pickers.,Copyable raw HTML email signature code block.,Interactive live email client preview card (Desktop + Mobile view).,"Copies LLM instruction: ""Email Signature Template HTML: [HTML Snippet]. Dynamic parameters: {name}, {title}, {phone}."""
9. Touchpoints,Presentation Deck,Figma Frame Import,Optional,"Multi-slide image gallery manager (Cover, Section Divider, Content Slide).",Downloadable 16:9 presentation slide template package (PNG/PDF/Figma link).,Full-width deck presentation slide gallery with keyboard/arrow navigation.,"Copies LLM instruction: ""Presentation Deck Guidelines: Aspect Ratio: 16:9. Cover Style: [Style]. Slide Background: [Hex]."""
